iter	Passed	Remaining
251	729	5059
252	732	5056
253	735	5053
254	737	5049
255	740	5046
256	743	5042
257	746	5039
258	749	5036
259	752	5032
260	754	5029
261	757	5026
262	760	5022
263	763	5019
264	766	5015
265	768	5012
266	771	5008
267	774	5005
268	777	5002
269	780	4998
270	782	4995
271	785	4991
272	788	4988
273	791	4985
274	794	4982
275	796	4978
276	799	4974
277	802	4971
278	805	4968
279	808	4965
280	811	4962
281	814	4959
282	816	4956
283	819	4952
284	823	4953
285	826	4950
286	828	4947
287	831	4945
288	834	4943
289	837	4941
290	841	4939
291	843	4936
292	846	4933
293	849	4930
294	852	4927
295	855	4924
296	858	4924
297	861	4921
298	864	4918
299	867	4916
300	870	4913
301	873	4911
302	876	4908
303	879	4904
304	882	4901
305	884	4898
306	887	4896
307	890	4894
308	893	4891
309	897	4894
310	900	4892
311	904	4890
312	907	4889
313	910	4887
314	920	4926
315	924	4929
316	928	4931
317	932	4931
318	940	4953
319	958	5033
320	969	5069
321	977	5096
322	988	5133
323	1001	5180
324	1006	5186
325	1009	5183
326	1012	5180
327	1024	5220
328	1027	5219
329	1030	5215
330	1033	5212
331	1036	5209
332	1040	5206
333	1042	5201
334	1045	5197
335	1048	5193
336	1052	5193
337	1055	5188
338	1058	5184
339	1060	5179
340	1063	5175
341	1066	5170
342	1069	5165
343	1072	5161
344	1074	5156
345	1077	5151
346	1080	5147
347	1083	5142
348	1086	5138
349	1089	5134
350	1091	5129
351	1094	5125
352	1097	5120
353	1100	5115
354	1103	5111
355	1105	5106
356	1108	5101
357	1111	5097
358	1114	5092
359	1116	5088
360	1119	5084
361	1122	5079
362	1125	5075
363	1129	5077
364	1132	5072
365	1135	5071
366	1138	5066
367	1141	5061
368	1144	5057
369	1147	5053
370	1149	5048
371	1152	5045
372	1155	5041
373	1158	5036
374	1161	5032
375	1164	5027
376	1166	5023
377	1169	5019
378	1172	5014
379	1175	5010
380	1178	5006
381	1181	5002
382	1183	4997
383	1186	4993
384	1189	4989
385	1192	4984
386	1194	4980
387	1197	4976
388	1200	4972
389	1203	4967
390	1206	4963
391	1208	4958
392	1211	4955
393	1214	4951
394	1217	4947
395	1220	4943
396	1223	4939
397	1226	4935
398	1228	4931
399	1231	4927
400	1234	4923
401	1237	4919
402	1240	4915
403	1243	4911
404	1246	4907
405	1248	4902
406	1251	4899
407	1254	4895
408	1257	4890
409	1260	4886
410	1262	4882
411	1265	4878
412	1268	4874
413	1271	4870
414	1274	4866
415	1276	4862
416	1279	4858
417	1282	4854
418	1285	4850
419	1288	4846
420	1291	4842
421	1293	4838
422	1296	4834
423	1299	4830
424	1302	4826
425	1305	4822
426	1307	4818
427	1310	4814
428	1313	4810
429	1316	4806
430	1319	4802
431	1322	4798
432	1324	4794
433	1327	4790
434	1330	4787
435	1333	4783
436	1336	4780
437	1339	4776
438	1342	4772
439	1345	4769
440	1347	4765
441	1350	4761
442	1353	4757
443	1356	4753
444	1359	4749
445	1361	4745
446	1364	4741
447	1367	4737
448	1370	4733
449	1373	4729
450	1375	4725
451	1378	4722
452	1381	4719
453	1384	4715
454	1387	4711
455	1390	4707
456	1393	4703
457	1396	4700
458	1399	4696
459	1401	4693
460	1404	4689
461	1407	4685
462	1410	4682
463	1413	4679
464	1416	4675
465	1419	4671
466	1421	4667
467	1424	4664
468	1427	4660
469	1430	4656
470	1433	4652
471	1436	4649
472	1438	4645
473	1441	4641
474	1444	4638
475	1448	4636
476	1451	4633
477	1453	4629
478	1456	4625
479	1459	4622
480	1462	4618
481	1465	4614
482	1468	4610
483	1470	4607
484	1473	4603
485	1476	4599
486	1479	4595
487	1482	4592
488	1484	4588
489	1487	4584
490	1490	4581
491	1493	4577
492	1496	4573
493	1499	4570
494	1501	4566
495	1504	4562
496	1507	4558
497	1510	4554
498	1513	4551
499	1515	4547
500	1518	4543
501	1521	4539
502	1524	4535
503	1527	4532
504	1529	4529
505	1532	4525
506	1535	4521
507	1538	4517
508	1540	4513
509	1543	4510
510	1546	4506
511	1549	4503
512	1552	4499
513	1555	4496
514	1558	4492
515	1560	4488
516	1563	4484
517	1566	4481
518	1569	4477
519	1572	4474
520	1574	4470
521	1577	4467
522	1580	4463
523	1583	4459
524	1586	4456
525	1588	4452
526	1591	4448
527	1594	4445
528	1597	4441
529	1600	4438
530	1603	4434
531	1605	4431
532	1608	4427
533	1611	4424
534	1614	4420
535	1617	4417
536	1620	4413
537	1622	4410
538	1625	4406
539	1628	4403
540	1631	4399
541	1634	4396
542	1637	4392
543	1639	4389
544	1642	4385
545	1645	4381
546	1648	4378
547	1651	4374
548	1653	4371
549	1656	4367
550	1659	4363
551	1662	4360
552	1665	4356
553	1667	4353
554	1670	4349
555	1673	4346
556	1676	4343
557	1679	4339
558	1682	4336
559	1685	4334
560	1688	4330
561	1691	4327
562	1694	4324
563	1697	4320
564	1699	4317
565	1702	4314
566	1705	4310
567	1708	4306
568	1711	4303
569	1713	4299
570	1716	4296
571	1719	4292
572	1722	4289
573	1725	4285
574	1728	4282
575	1731	4279
576	1734	4276
577	1737	4273
578	1739	4270
579	1743	4268
580	1746	4265
581	1749	4261
582	1751	4258
583	1754	4254
584	1757	4251
585	1760	4247
586	1762	4243
587	1765	4240
588	1768	4236
589	1771	4233
590	1774	4229
591	1777	4226
592	1779	4223
593	1782	4219
594	1785	4216
595	1788	4212
596	1791	4209
597	1794	4206
598	1796	4202
599	1799	4199
600	1802	4196
601	1805	4192
602	1808	4189
603	1811	4186
604	1813	4182
605	1816	4179
606	1819	4175
607	1822	4172
608	1825	4168
609	1828	4165
610	1830	4161
611	1833	4158
612	1836	4154
613	1839	4151
614	1841	4147
615	1844	4144
616	1847	4142
617	1850	4138
618	1853	4135
619	1856	4132
620	1859	4128
621	1862	4125
622	1865	4122
623	1868	4119
624	1870	4115
625	1873	4112
626	1876	4108
627	1879	4105
628	1881	4101
629	1884	4098
630	1887	4094
631	1890	4091
632	1893	4088
633	1895	4084
634	1898	4081
635	1901	4077
636	1904	4074
637	1906	4070
638	1909	4067
639	1912	4064
640	1915	4060
641	1918	4057
642	1920	4054
643	1923	4050
644	1926	4047
645	1929	4043
646	1932	4040
647	1935	4037
648	1937	4033
649	1940	4030
650	1943	4027
651	1946	4024
652	1949	4020
653	1951	4017
654	1954	4014
655	1957	4010
656	1960	4007
657	1963	4003
658	1965	4000
659	1968	3997
660	1971	3993
661	1974	3990
662	1977	3986
663	1979	3983
664	1982	3980
665	1985	3976
666	1988	3973
667	1990	3969
668	1993	3966
669	1996	3962
670	1999	3959
671	2002	3956
672	2004	3952
673	2007	3949
674	2010	3946
675	2013	3942
676	2015	3939
677	2018	3936
678	2021	3932
679	2024	3929
680	2026	3925
681	2029	3922
682	2032	3919
683	2035	3916
684	2038	3912
685	2041	3910
686	2044	3907
687	2047	3903
688	2049	3900
689	2052	3897
690	2055	3893
691	2058	3890
692	2061	3887
693	2063	3883
694	2066	3880
695	2069	3877
696	2072	3873
697	2075	3870
698	2077	3867
699	2080	3863
700	2083	3860
701	2086	3857
702	2088	3853
703	2091	3850
704	2094	3847
705	2097	3843
706	2099	3840
707	2102	3837
708	2105	3833
709	2108	3830
710	2111	3827
711	2113	3824
712	2116	3820
713	2119	3817
714	2122	3814
715	2125	3810
716	2127	3807
717	2130	3804
718	2133	3800
719	2136	3797
720	2139	3794
721	2141	3791
722	2144	3787
723	2147	3784
724	2150	3781
725	2153	3778
726	2156	3775
727	2159	3772
728	2162	3770
729	2165	3767
730	2168	3764
731	2171	3761
732	2174	3758
733	2177	3755
734	2179	3751
735	2182	3748
736	2185	3745
737	2188	3742
738	2191	3738
739	2194	3736
740	2197	3733
741	2200	3730
742	2203	3727
743	2205	3723
744	2208	3720
745	2211	3717
746	2214	3714
747	2217	3710
748	2220	3708
749	2223	3705
750	2226	3702
751	2229	3699
752	2232	3696
753	2235	3693
754	2238	3691
755	2241	3688
756	2244	3685
757	2247	3682
758	2250	3679
759	2253	3676
760	2256	3673
761	2258	3669
762	2261	3666
763	2264	3663
764	2267	3660
765	2270	3657
766	2273	3654
767	2276	3651
768	2279	3648
769	2282	3645
770	2285	3642
771	2288	3639
772	2291	3636
773	2294	3633
774	2296	3630
775	2299	3627
776	2302	3624
777	2305	3621
778	2308	3617
779	2311	3614
780	2313	3611
781	2316	3608
782	2319	3605
783	2322	3602
784	2325	3599
785	2328	3596
786	2331	3592
787	2333	3589
788	2336	3586
789	2339	3583
790	2342	3580
791	2345	3578
792	2348	3574
793	2351	3571
794	2354	3568
795	2357	3565
796	2359	3562
797	2362	3558
798	2365	3555
799	2368	3553
800	2371	3549
801	2374	3546
802	2377	3543
803	2380	3540
804	2382	3537
805	2385	3534
806	2388	3531
807	2391	3527
808	2394	3524
809	2396	3521
810	2400	3519
811	2403	3515
812	2405	3512
813	2408	3509
814	2411	3506
815	2414	3503
816	2417	3500
817	2420	3497
818	2422	3493
819	2425	3490
820	2428	3487
821	2431	3484
822	2434	3481
823	2436	3477
824	2439	3474
825	2442	3471
826	2445	3468
827	2448	3465
828	2451	3462
829	2453	3459
830	2456	3455
831	2459	3452
832	2462	3449
833	2465	3446
834	2467	3443
835	2470	3439
836	2473	3436
837	2476	3433
838	2478	3430
839	2481	3427
840	2484	3424
841	2487	3421
842	2490	3417
843	2493	3414
844	2495	3411
845	2498	3408
846	2501	3405
847	2504	3402
848	2507	3399
849	2510	3396
850	2512	3392
851	2515	3389
852	2518	3386
853	2521	3383
854	2524	3380
855	2526	3377
856	2529	3374
857	2532	3370
858	2535	3367
859	2538	3364
860	2540	3361
861	2543	3358
862	2544	3352
863	2547	3349
864	2550	3346
865	2553	3343
866	2555	3340
867	2558	3336
868	2561	3333
869	2564	3330
870	2566	3327
871	2569	3324
872	2572	3321
873	2575	3317
874	2578	3314
875	2580	3311
876	2583	3308
877	2586	3305
878	2589	3302
879	2592	3299
880	2595	3296
881	2597	3292
882	2600	3289
883	2603	3286
884	2606	3283
885	2609	3280
886	2611	3277
887	2614	3274
888	2617	3271
889	2620	3267
890	2623	3264
891	2625	3261
892	2628	3258
893	2631	3255
894	2634	3252
895	2637	3249
896	2639	3246
897	2642	3243
898	2645	3239
899	2648	3236
900	2651	3233
901	2653	3230
902	2656	3227
903	2659	3224
904	2662	3221
905	2664	3217
906	2667	3214
907	2670	3211
908	2673	3208
909	2676	3205
910	2679	3202
911	2681	3199
912	2684	3196
913	2687	3193
914	2690	3190
915	2692	3186
916	2695	3183
917	2698	3180
918	2701	3177
919	2704	3174
920	2707	3171
921	2709	3168
922	2712	3165
923	2715	3162
924	2718	3159
925	2721	3156
926	2724	3153
927	2726	3149
928	2729	3146
929	2732	3143
930	2735	3140
931	2737	3137
932	2740	3134
933	2743	3131
934	2746	3128
935	2749	3124
936	2751	3121
937	2754	3118
938	2757	3116
939	2760	3113
940	2763	3110
941	2766	3107
942	2769	3104
943	2772	3101
944	2775	3098
945	2778	3095
946	2780	3092
947	2783	3089
948	2786	3085
949	2789	3082
950	2791	3079
951	2795	3077
952	2798	3074
953	2801	3071
954	2804	3068
955	2807	3065
956	2810	3062
957	2813	3059
958	2816	3056
959	2818	3053
960	2821	3050
961	2824	3047
962	2827	3044
963	2830	3041
964	2833	3038
965	2835	3035
966	2838	3032
967	2841	3029
968	2844	3026
969	2847	3023
970	2850	3020
971	2853	3017
972	2856	3014
973	2859	3011
974	2862	3008
975	2864	3005
976	2867	3002
977	2870	2999
978	2873	2996
979	2876	2993
980	2879	2991
981	2882	2988
982	2885	2985
983	2888	2982
984	2891	2979
985	2893	2975
986	2896	2972
987	2899	2969
988	2902	2966
989	2905	2963
990	2907	2960
991	2910	2957
992	2913	2954
993	2916	2951
994	2919	2948
995	2921	2945
996	2924	2942
997	2927	2939
998	2930	2936
999	2934	2934
1000	2936	2931
1001	2939	2928
1002	2942	2924
1003	2945	2921
1004	2948	2918
1005	2950	2915
1006	2953	2912
1007	2956	2909
1008	2959	2906
1009	2962	2903
1010	2965	2900
1011	2967	2897
1012	2970	2894
1013	2973	2891
1014	2976	2888
1015	2979	2885
1016	2981	2882
1017	2985	2879
1018	2987	2876
1019	2990	2873
1020	2993	2870
1021	2996	2867
1022	2999	2864
1023	3001	2861
1024	3004	2858
1025	3007	2855
1026	3010	2852
1027	3013	2849
1028	3016	2846
1029	3019	2843
1030	3021	2840
1031	3024	2837
1032	3027	2834
1033	3030	2831
1034	3033	2827
1035	3035	2824
1036	3038	2821
1037	3041	2818
1038	3044	2815
1039	3047	2812
1040	3050	2810
1041	3053	2807
1042	3056	2804
1043	3059	2801
1044	3061	2798
1045	3064	2795
1046	3067	2792
1047	3070	2789
1048	3072	2785
1049	3075	2782
1050	3078	2779
1051	3081	2776
1052	3084	2773
1053	3086	2770
1054	3089	2767
1055	3092	2764
1056	3095	2761
1057	3098	2758
1058	3100	2755
1059	3103	2752
1060	3106	2749
1061	3109	2746
1062	3112	2743
1063	3114	2740
1064	3117	2737
1065	3120	2734
1066	3123	2731
1067	3125	2727
1068	3128	2724
1069	3131	2721
1070	3134	2718
1071	3137	2715
1072	3139	2712
1073	3142	2709
1074	3145	2706
1075	3148	2703
1076	3151	2700
1077	3154	2697
1078	3156	2694
1079	3159	2691
1080	3162	2688
1081	3165	2685
1082	3168	2682
1083	3171	2679
1084	3173	2676
1085	3176	2673
1086	3179	2670
1087	3182	2667
1088	3185	2664
1089	3187	2661
1090	3190	2658
1091	3193	2655
1092	3196	2652
1093	3199	2649
1094	3201	2646
1095	3204	2643
1096	3207	2640
1097	3210	2637
1098	3213	2634
1099	3216	2631
1100	3219	2628
1101	3222	2625
1102	3224	2622
1103	3227	2619
1104	3230	2616
1105	3233	2613
1106	3236	2610
1107	3238	2607
1108	3241	2604
1109	3244	2601
1110	3247	2598
1111	3250	2595
1112	3253	2592
1113	3255	2589
1114	3258	2586
1115	3261	2583
1116	3264	2580
1117	3266	2577
1118	3269	2574
1119	3272	2571
1120	3275	2568
1121	3278	2565
1122	3281	2562
1123	3283	2559
1124	3286	2556
1125	3289	2553
1126	3292	2550
1127	3295	2547
1128	3298	2544
1129	3300	2541
1130	3303	2538
1131	3306	2535
1132	3309	2532
1133	3312	2529
1134	3314	2526
1135	3317	2523
1136	3320	2520
1137	3323	2517
1138	3326	2514
1139	3329	2511
1140	3332	2508
1141	3335	2505
1142	3337	2502
1143	3340	2499
1144	3343	2496
1145	3346	2493
1146	3351	2492
1147	3354	2489
1148	3357	2486
1149	3360	2483
1150	3363	2480
1151	3366	2477
1152	3369	2475
1153	3372	2472
1154	3375	2469
1155	3378	2466
1156	3381	2463
1157	3384	2460
1158	3387	2457
1159	3390	2454
1160	3393	2452
1161	3396	2449
1162	3399	2446
1163	3403	2444
1164	3405	2441
1165	3408	2438
1166	3411	2435
1167	3414	2432
1168	3417	2429
1169	3420	2426
1170	3422	2423
1171	3425	2420
1172	3428	2417
1173	3431	2414
1174	3434	2411
1175	3436	2408
1176	3439	2405
1177	3442	2402
1178	3445	2399
1179	3445	2394
1180	3448	2391
1181	3451	2388
1182	3454	2385
1183	3456	2382
1184	3459	2379
1185	3462	2376
1186	3465	2373
1187	3468	2370
1188	3470	2367
1189	3473	2364
1190	3476	2361
1191	3479	2358
1192	3482	2355
1193	3485	2352
1194	3487	2349
1195	3490	2346
1196	3493	2343
1197	3496	2340
1198	3499	2337
1199	3502	2334
1200	3504	2331
1201	3507	2328
1202	3510	2325
1203	3513	2322
1204	3516	2319
1205	3519	2317
1206	3522	2314
1207	3525	2311
1208	3527	2308
1209	3530	2305
1210	3533	2302
1211	3536	2299
1212	3539	2296
1213	3541	2293
1214	3544	2290
1215	3547	2287
1216	3550	2284
1217	3552	2281
1218	3555	2278
1219	3558	2275
1220	3561	2272
1221	3564	2269
1222	3566	2266
1223	3569	2263
1224	3572	2260
1225	3575	2257
1226	3578	2254
1227	3581	2251
1228	3583	2248
1229	3586	2245
1230	3589	2242
1231	3592	2239
1232	3595	2236
1233	3598	2233
1234	3600	2230
1235	3603	2227
1236	3606	2224
1237	3609	2221
1238	3612	2218
1239	3614	2215
1240	3617	2212
1241	3620	2209
1242	3623	2206
1243	3625	2203
1244	3628	2200
1245	3631	2197
1246	3634	2194
1247	3637	2191
1248	3640	2188
1249	3643	2185
1250	3645	2182
1251	3648	2179
1252	3651	2176
1253	3654	2173
1254	3656	2170
1255	3659	2167
1256	3662	2164
1257	3665	2161
1258	3669	2159
1259	3671	2156
1260	3674	2153
1261	3677	2150
1262	3680	2147
1263	3683	2144
1264	3685	2141
1265	3688	2138
1266	3691	2135
1267	3694	2132
1268	3697	2129
1269	3700	2126
1270	3702	2123
1271	3705	2120
1272	3708	2117
1273	3711	2114
1274	3714	2111
1275	3716	2109
1276	3719	2106
1277	3722	2103
1278	3725	2100
1279	3728	2097
1280	3731	2094
1281	3733	2091
1282	3736	2088
1283	3739	2085
1284	3742	2082
1285	3745	2079
1286	3748	2076
1287	3750	2073
1288	3753	2070
1289	3756	2067
1290	3759	2064
1291	3762	2061
1292	3765	2058
1293	3767	2055
1294	3770	2052
1295	3773	2049
1296	3776	2046
1297	3779	2043
1298	3782	2040
1299	3785	2038
1300	3788	2035
1301	3790	2032
1302	3793	2029
1303	3796	2026
1304	3799	2023
1305	3801	2020
1306	3804	2017
1307	3807	2014
1308	3810	2011
1309	3813	2008
1310	3816	2005
1311	3819	2002
1312	3822	1999
1313	3825	1996
1314	3827	1994
1315	3830	1991
1316	3833	1988
1317	3836	1985
1318	3839	1982
1319	3842	1979
1320	3845	1976
1321	3847	1973
1322	3850	1970
1323	3853	1967
1324	3856	1964
1325	3859	1961
1326	3862	1958
1327	3865	1955
1328	3868	1953
1329	3871	1950
1330	3874	1947
1331	3877	1944
1332	3880	1941
1333	3883	1938
1334	3886	1935
1335	3889	1932
1336	3891	1929
1337	3894	1926
1338	3897	1924
1339	3900	1921
1340	3903	1918
1341	3906	1915
1342	3909	1912
1343	3912	1909
1344	3915	1906
1345	3917	1903
1346	3920	1900
1347	3923	1897
1348	3926	1894
1349	3929	1892
1350	3932	1889
1351	3935	1886
1352	3938	1883
1353	3941	1880
1354	3943	1877
1355	3946	1874
1356	3949	1871
1357	3952	1868
1358	3955	1865
1359	3957	1862
1360	3960	1859
1361	3963	1856
1362	3966	1853
1363	3969	1850
1364	3972	1847
1365	3974	1844
1366	3977	1841
1367	3980	1839
1368	3983	1836
1369	3986	1833
1370	3989	1830
1371	3992	1827
1372	3994	1824
1373	3997	1821
1374	4000	1818
1375	4003	1815
1376	4006	1812
1377	4008	1809
1378	4011	1806
1379	4014	1803
1380	4017	1800
1381	4020	1797
1382	4023	1794
1383	4026	1791
1384	4028	1789
1385	4031	1786
1386	4034	1783
1387	4037	1780
1388	4040	1777
1389	4042	1774
1390	4045	1771
1391	4048	1768
1392	4051	1765
1393	4054	1762
1394	4056	1759
1395	4059	1756
1396	4062	1753
1397	4065	1750
1398	4068	1747
1399	4070	1744
1400	4073	1741
1401	4076	1738
1402	4079	1735
1403	4082	1732
1404	4085	1729
1405	4087	1727
1406	4090	1724
1407	4093	1721
1408	4096	1718
1409	4099	1715
1410	4101	1712
1411	4104	1709
1412	4107	1706
1413	4110	1703
1414	4113	1700
1415	4115	1697
1416	4118	1694
1417	4121	1691
1418	4124	1688
1419	4127	1685
1420	4129	1682
1421	4132	1679
1422	4135	1676
1423	4138	1673
1424	4141	1670
1425	4143	1668
1426	4146	1665
1427	4149	1662
1428	4152	1659
1429	4155	1656
1430	4157	1653
1431	4160	1650
1432	4163	1647
1433	4166	1644
1434	4169	1641
1435	4172	1638
1436	4175	1635
1437	4177	1632
1438	4180	1629
1439	4183	1626
1440	4186	1624
1441	4189	1621
1442	4192	1618
1443	4194	1615
1444	4197	1612
1445	4200	1609
1446	4203	1606
1447	4206	1603
1448	4208	1600
1449	4211	1597
1450	4214	1594
1451	4217	1591
1452	4220	1588
1453	4223	1585
1454	4225	1582
1455	4228	1580
1456	4231	1577
1457	4234	1574
1458	4237	1571
1459	4240	1568
1460	4243	1565
1461	4246	1562
1462	4248	1559
1463	4252	1556
1464	4255	1553
1465	4258	1551
1466	4262	1548
1467	4265	1545
1468	4268	1542
1469	4271	1540
1470	4274	1537
1471	4277	1534
1472	4280	1531
1473	4283	1528
1474	4286	1525
1475	4289	1522
1476	4292	1520
1477	4295	1517
1478	4298	1514
1479	4301	1511
1480	4305	1508
1481	4308	1505
1482	4310	1502
1483	4313	1499
1484	4316	1497
1485	4319	1494
1486	4323	1491
1487	4326	1488
1488	4329	1485
1489	4332	1482
1490	4335	1480
1491	4338	1477
1492	4341	1474
1493	4344	1471
1494	4347	1468
1495	4350	1465
1496	4353	1462
1497	4356	1459
1498	4359	1456
1499	4362	1454
1500	4365	1451
1501	4367	1448
1502	4370	1445
1503	4373	1442
1504	4376	1439
1505	4379	1436
1506	4382	1433
1507	4384	1430
1508	4387	1427
1509	4390	1424
1510	4393	1421
1511	4396	1418
1512	4398	1415
1513	4401	1412
1514	4404	1410
1515	4407	1407
1516	4410	1404
1517	4413	1401
1518	4415	1398
1519	4419	1395
1520	4422	1392
1521	4425	1389
1522	4427	1386
1523	4430	1383
1524	4433	1380
1525	4436	1378
1526	4439	1375
1527	4442	1372
1528	4444	1369
1529	4447	1366
1530	4450	1363
1531	4453	1360
1532	4456	1357
1533	4459	1354
1534	4461	1351
1535	4464	1348
1536	4467	1345
1537	4470	1342
1538	4473	1339
1539	4476	1337
1540	4478	1334
1541	4481	1331
1542	4484	1328
1543	4487	1325
1544	4490	1322
1545	4492	1319
1546	4495	1316
1547	4498	1313
1548	4501	1310
1549	4504	1307
1550	4507	1304
1551	4509	1301
1552	4512	1298
1553	4515	1295
1554	4518	1293
1555	4521	1290
1556	4524	1287
1557	4526	1284
1558	4529	1281
1559	4532	1278
1560	4535	1275
1561	4538	1272
1562	4541	1269
1563	4543	1266
1564	4546	1263
1565	4549	1260
1566	4552	1257
1567	4555	1255
1568	4558	1252
1569	4560	1249
1570	4563	1246
1571	4566	1243
1572	4569	1240
1573	4572	1237
1574	4574	1234
1575	4577	1231
1576	4580	1228
1577	4583	1225
1578	4586	1222
1579	4588	1219
1580	4591	1216
1581	4594	1213
1582	4597	1211
1583	4600	1208
1584	4603	1205
1585	4605	1202
1586	4608	1199
1587	4611	1196
1588	4614	1193
1589	4616	1190
1590	4619	1187
1591	4622	1184
1592	4625	1181
1593	4628	1178
1594	4631	1175
1595	4633	1172
1596	4636	1170
1597	4639	1167
1598	4642	1164
1599	4645	1161
1600	4648	1158
1601	4651	1155
1602	4653	1152
1603	4656	1149
1604	4659	1146
1605	4662	1143
1606	4665	1140
1607	4668	1138
1608	4671	1135
1609	4674	1132
1610	4676	1129
1611	4680	1126
1612	4682	1123
1613	4685	1120
1614	4688	1117
1615	4691	1114
1616	4694	1111
1617	4697	1109
1618	4700	1106
1619	4703	1103
1620	4706	1100
1621	4709	1097
1622	4712	1094
1623	4715	1091
1624	4718	1088
1625	4721	1086
1626	4725	1083
1627	4729	1080
1628	4733	1078
1629	4737	1075
1630	4740	1072
1631	4744	1069
1632	4747	1066
1633	4750	1064
1634	4754	1061
1635	4757	1058
1636	4760	1055
1637	4764	1052
1638	4767	1050
1639	4771	1047
1640	4774	1044
1641	4777	1041
1642	4780	1038
1643	4783	1035
1644	4786	1032
1645	4789	1030
1646	4792	1027
1647	4795	1024
1648	4798	1021
1649	4801	1018
1650	4804	1015
1651	4807	1012
1652	4810	1009
1653	4813	1006
1654	4816	1004
1655	4819	1001
1656	4822	998
1657	4825	995
1658	4828	992
1659	4831	989
1660	4834	986
1661	4837	983
1662	4840	980
1663	4842	977
1664	4845	975
1665	4848	972
1666	4851	969
1667	4854	966
1668	4857	963
1669	4860	960
1670	4863	957
1671	4866	954
1672	4869	951
1673	4872	948
1674	4874	945
1675	4877	942
1676	4880	940
1677	4883	937
1678	4886	934
1679	4889	931
1680	4892	928
1681	4895	925
1682	4898	922
1683	4900	919
1684	4903	916
1685	4906	913
1686	4909	910
1687	4912	907
1688	4914	904
1689	4917	902
1690	4920	899
1691	4923	896
1692	4926	893
1693	4929	890
1694	4931	887
1695	4934	884
1696	4937	881
1697	4940	878
1698	4943	875
1699	4946	872
1700	4949	869
1701	4949	866
1702	4952	863
1703	4954	860
1704	4957	857
